## Dateiname: 1-grams_default91.alph.tab
## Alphabet: default91.alph
## Modulus: 91
## Text: gutenberg.txt
## Anzahl der 1-Gramme: 1772107
  14.80983 32
e 13.14514 101
n 8.26271 110
i 5.74034 105
r 4.92030 114
s 4.53697 115
t 4.28721 116
a 4.20894 97
d 3.81913 100
h 3.67941 104
u 2.97324 117
l 2.91681 108
c 2.50831 99
o 2.14564 111
g 2.04282 103
· 1.80514 13
· 1.80514 10
m 1.70554 109
· 1.48332 183
, 1.30421 44
w 1.28762 119
b 1.18390 98
f 0.93217 102
k 0.83889 107
z 0.73506 122
. 0.65329 46
v 0.52717 118
p 0.49788 112
S 0.46594 83
D 0.28170 68
G 0.27233 71
A 0.24620 65
K 0.22008 75
B 0.21675 66
E 0.19903 69
H 0.19863 72
F 0.19186 70
W 0.19181 87
M 0.19118 77
- 0.18182 45
T 0.17059 84
L 0.14226 76
I 0.13453 73
; 0.12877 59
! 0.12793 33
y 0.12454 121
P 0.11845 80
U 0.11794 85
R 0.11743 82
j 0.11252 106
N 0.10835 78
V 0.10338 86
: 0.07054 58
Z 0.07054 90
= 0.06913 61
O 0.06789 79
1 0.06354 49
J 0.05920 74
C 0.05756 67
? 0.04165 63
x 0.03837 120
' 0.03747 39
0 0.03521 48
2 0.03030 50
3 0.02720 51
) 0.02472 41
( 0.02421 40
4 0.02274 52
5 0.02246 53
6 0.01936 54
8 0.01890 56
9 0.01704 57
7 0.01574 55
/ 0.01264 47
Y 0.01196 89
q 0.01146 113
Q 0.00564 81
X 0.00231 88
> 0.00090 62
< 0.00090 60
# 0.00028 35

