ein 1.13689 101_105_110
ich 1.12266 105_99_104
der 0.92072 100_101_114
sch 0.83888 115_99_104
und 0.80774 117_110_100
die 0.73791 100_105_101
nde 0.69699 110_100_101
cht 0.66986 99_104_116
ine 0.57111 105_110_101
den 0.54932 100_101_110
end 0.53553 101_110_100
che 0.52085 99_104_101
ens 0.51418 101_110_115
ers 0.50573 101_114_115
ten 0.50484 116_101_110
ter 0.44479 116_101_114
gen 0.42255 103_101_110
ste 0.38208 115_116_101
nge 0.37407 110_103_101
das 0.37363 100_97_115
sie 0.36695 115_105_101
ere 0.34605 101_114_101
ach 0.34249 97_99_104
erd 0.34160 101_114_100
sse 0.33582 115_115_101
hen 0.31447 104_101_110
ede 0.31091 101_100_101
and 0.30557 97_110_100
ies 0.30290 105_101_115
ind 0.30290 105_110_100
sei 0.29935 115_101_105
nic 0.29623 110_105_99
ber 0.29623 98_101_114
nen 0.29267 110_101_110
ebe 0.28778 101_98_101
ndi 0.28689 110_100_105
nun 0.28200 110_117_110
ass 0.26421 97_115_115
rde 0.26287 114_100_101
auf 0.26109 97_117_102
rei 0.25887 114_101_105
sic 0.25798 115_105_99
ern 0.25531 101_114_110
war 0.25442 119_97_114
tte 0.25309 116_116_101
ner 0.25220 110_101_114
enn 0.24997 101_110_110
sen 0.24775 115_101_110
ene 0.24508 101_110_101
aus 0.24063 97_117_115
ert 0.23752 101_114_116
ena 0.23574 101_110_97
lic 0.23352 108_105_99
abe 0.22951 97_98_101
era 0.22462 101_114_97
ege 0.22240 101_103_101
ann 0.22017 97_110_110
nte 0.21973 110_116_101
hte 0.21884 104_116_101
lle 0.21839 108_108_101
her 0.21528 104_101_114
ver 0.21528 118_101_114
ben 0.21350 98_101_110
mit 0.21350 109_105_116
uer 0.21172 117_101_114
man 0.20994 109_97_110
enw 0.20772 101_110_119
enu 0.20683 101_110_117
sta 0.20460 115_116_97
ren 0.20194 114_101_110
ess 0.20149 101_115_115
tes 0.20149 116_101_115
wie 0.20105 119_105_101
est 0.20016 101_115_116
esi 0.19971 101_115_105
eri 0.19615 101_114_105
ese 0.19526 101_115_101
lte 0.19393 108_116_101
rau 0.19348 114_97_117
eit 0.19304 101_105_116
hre 0.19304 104_114_101
och 0.19171 111_99_104
dem 0.19082 100_101_109
erw 0.18948 101_114_119
tei 0.18503 116_101_105
ied 0.18414 105_101_100
ges 0.18236 103_101_115
chd 0.18192 99_104_100
uch 0.18059 117_99_104
rst 0.18014 114_115_116
lei 0.17925 108_101_105
erg 0.17881 101_114_103
nda 0.17792 110_100_97
nsi 0.17614 110_115_105
eni 0.17569 101_110_105
ung 0.17525 117_110_103
cha 0.17391 99_104_97
chs 0.17258 99_104_115
wei 0.17125 119_101_105
eng 0.17125 101_110_103
ist 0.16947 105_115_116
nei 0.16902 110_101_105
ndd 0.16902 110_100_100
tun 0.16813 116_117_110
nsc 0.16724 110_115_99
mme 0.16724 109_109_101
tde 0.16546 116_100_101
enk 0.16502 101_110_107
ing 0.16324 105_110_103
rge 0.16279 114_103_101
ehr 0.16279 101_104_114
erh 0.15835 101_114_104
ang 0.15790 97_110_103
erk 0.15746 101_114_107
nds 0.15701 110_100_115
nst 0.15523 110_115_116
chw 0.15523 99_104_119
ier 0.15390 105_101_114
hat 0.15212 104_97_116
ted 0.15167 116_101_100
men 0.15078 109_101_110
ger 0.15034 103_101_114
ige 0.15034 105_103_101
