## Dateiname: 2-grams_programmierer.alph.tab
## Alphabet: programmierer.alph
## Modulus: 89
## Text: programmierer.txt
## Anzahl der 2-Gramme: 23768
er 3.59307 101_114
en 3.05453 101_110
n  2.46129 110_32
ch 2.11208 99_104
r  1.84702 114_32
e  1.71659 101_32
te 1.69976 116_101
ie 1.65769 105_101
ei 1.61141 101_105
·· 1.52306 13_10
in 1.44732 105_110
de 1.34635 100_101
 d 1.30848 32_100
,  1.02659 44_32
re 0.99293 114_101
ge 0.95507 103_101
ra 0.92982 114_97
t  0.88354 116_32
ne 0.87513 110_101
 e 0.84988 32_101
nd 0.82885 110_100
st 0.79519 115_116
 s 0.79098 32_115
un 0.76153 117_110
am 0.74891 97_109
be 0.74891 98_101
ro 0.71525 114_111
s  0.71525 115_32
mm 0.71525 109_109
ht 0.68580 104_116
he 0.67317 104_101
mi 0.66055 109_105
es 0.64793 101_115
gr 0.63952 103_114
og 0.63110 111_103
le 0.62689 108_101
ic 0.61006 105_99
Pr 0.59323 80_114
an 0.58061 97_110
 P 0.53854 32_80
 a 0.53012 32_97
se 0.51750 115_101
it 0.50909 105_116
.  0.50067 46_32
sc 0.49647 115_99
ng 0.49647 110_103
 i 0.49226 32_105
m  0.48805 109_32
on 0.47122 111_110
au 0.45860 97_117
is 0.44598 105_115
di 0.44598 100_105
 E 0.44177 32_69
 w 0.44177 32_119
d  0.42915 100_32
em 0.42494 101_109
al 0.40811 97_108
 u 0.39970 32_117
n, 0.39970 110_44
el 0.39970 101_108
li 0.39970 108_105
me 0.39128 109_101
h  0.36604 104_32
si 0.36183 115_105
 m 0.35342 32_109
Ec 0.35342 69_99
 v 0.34500 32_118
da 0.34500 100_97
as 0.33659 97_115
 S 0.33238 32_83
ar 0.33238 97_114
n. 0.32817 110_46
 g 0.32817 32_103
rt 0.32817 114_116
nt 0.31976 110_116
ut 0.31555 117_116
zu 0.31555 122_117
ig 0.30714 105_103
 k 0.30293 32_107
ni 0.29872 110_105
 z 0.29451 32_122
or 0.29451 111_114
nn 0.29451 110_110
 A 0.28610 32_65
ss 0.28610 115_115
 b 0.27768 32_98
ri 0.27768 114_105
ll 0.27348 108_108
n· 0.26927 110_13
rs 0.26927 114_115
om 0.26506 111_109
ma 0.26506 109_97
 n 0.26085 32_110
et 0.25665 101_116
ti 0.25665 116_105
vo 0.25244 118_111
at 0.24403 97_116
tr 0.24403 116_114
eh 0.23982 101_104
 D 0.23140 32_68
ha 0.23140 104_97
e· 0.22720 101_13
.· 0.22299 46_13
 B 0.21457 32_66
ur 0.21457 117_114
rd 0.21457 114_100
we 0.21457 119_101
hr 0.21457 104_114
u  0.21457 117_32
 M 0.21037 32_77
wi 0.21037 119_105
eb 0.21037 101_98
ke 0.20616 107_101
ru 0.20195 114_117
mp 0.20195 109_112
ac 0.20195 97_99
ns 0.20195 110_115
lt 0.20195 108_116
hl 0.19774 104_108
so 0.19354 115_111
ze 0.19354 122_101
 h 0.18933 32_104
t, 0.18512 116_44
la 0.18092 108_97
uf 0.17671 117_102
rn 0.17671 114_110
g  0.17250 103_32
 F 0.16829 32_70
um 0.16829 117_109
 l 0.16829 32_108
 C 0.16409 32_67
tz 0.16409 116_122
l  0.15567 108_32
ve 0.15567 118_101
kt 0.15567 107_116
