## Dateiname: 3-grams_programmierer.alph.tab
## Alphabet: programmierer.alph
## Modulus: 89
## Text: programmierer.txt
## Anzahl der 3-Gramme: 23767
 ha 0.09257 32_104_97
rn  0.09257 114_110_32
··d 0.09257 13_10_100
r P 0.09257 114_32_80
str 0.09257 115_116_114
ess 0.09257 101_115_115
r b 0.09257 114_32_98
··  0.09257 13_10_32
wei 0.09257 119_101_105
 ka 0.08836 32_107_97
le  0.08836 108_101_32
wie 0.08836 119_105_101
tio 0.08836 116_105_111
hne 0.08836 104_110_101
ebe 0.08836 101_98_101
n a 0.08836 110_32_97
um  0.08836 117_109_32
ls  0.08836 108_115_32
utz 0.08836 117_116_122
aus 0.08836 97_117_115
. E 0.08836 46_32_69
r,  0.08836 114_44_32
ati 0.08836 97_116_105
age 0.08415 97_103_101
s·· 0.08415 115_13_10
chr 0.08415 99_104_114
auc 0.08415 97_117_99
all 0.08415 97_108_108
lei 0.08415 108_101_105
enn 0.08415 101_110_110
nst 0.08415 110_115_116
est 0.08415 101_115_116
übe 0.08415 252_98_101
sic 0.08415 115_105_99
de  0.08415 100_101_32
hle 0.07994 104_108_101
t.  0.07994 116_46_32
chi 0.07994 99_104_105
nut 0.07994 110_117_116
erd 0.07994 101_114_100
 fü 0.07994 32_102_252
er, 0.07994 101_114_44
 an 0.07994 32_97_110
rau 0.07994 114_97_117
n w 0.07994 110_32_119
lte 0.07994 108_116_101
t·· 0.07994 116_13_10
enu 0.07994 101_110_117
ngs 0.07994 110_103_115
dem 0.07994 100_101_109
des 0.07994 100_101_115
 Sc 0.07994 32_83_99
run 0.07994 114_117_110
 Di 0.07994 32_68_105
rst 0.07994 114_115_116
eis 0.07574 101_105_115
 ke 0.07574 32_107_101
uf  0.07574 117_102_32
ini 0.07574 105_110_105
ür  0.07574 252_114_32
ang 0.07574 97_110_103
TRA 0.07574 84_82_65
r w 0.07574 114_32_119
 es 0.07574 32_101_115
für 0.07574 102_252_114
··e 0.07574 13_10_101
r a 0.07574 114_32_97
RAN 0.07574 82_65_78
FOR 0.07574 70_79_82
RTR 0.07574 82_84_82
ehe 0.07574 101_104_101
kan 0.07574 107_97_110
ell 0.07574 101_108_108
res 0.07574 114_101_115
e e 0.07574 101_32_101
ORT 0.07574 79_82_84
, a 0.07574 44_32_97
te· 0.07153 116_101_13
pro 0.07153 112_114_111
t s 0.07153 116_32_115
Zei 0.07153 90_101_105
n S 0.07153 110_32_83
n v 0.07153 110_32_118
ege 0.07153 101_103_101
 wa 0.07153 32_119_97
nig 0.07153 110_105_103
tze 0.07153 116_122_101
tzt 0.07153 116_122_116
 üb 0.07153 32_252_98
··P 0.07153 13_10_80
,·· 0.07153 44_13_10
 Ma 0.07153 32_77_97
e m 0.07153 101_32_109
e i 0.07153 101_32_105
sol 0.07153 115_111_108
oll 0.06732 111_108_108
s e 0.06732 115_32_101
eru 0.06732 101_114_117
 od 0.06732 32_111_100
 me 0.06732 32_109_101
d d 0.06732 100_32_100
e a 0.06732 101_32_97
e M 0.06732 101_32_77
ene 0.06732 101_110_101
eib 0.06732 101_105_98
asc 0.06732 97_115_99
