## Dateiname: 2-grams_default91.alph.tab
## Alphabet: default91.alph
## Modulus: 91
## Text: gutenberg.txt
## Anzahl der 2-Gramme: 1772106
Di 0.07917 68_105
Un 0.07844 85_110
no 0.07770 110_111
hm 0.07680 104_109
id 0.07539 105_100
·w 0.07528 10_119
·c 0.07460 183_99
 p 0.07421 32_112
i  0.07381 105_32
ts 0.07274 116_115
-- 0.07246 45_45
a· 0.07144 97_183
d· 0.07054 100_13
 I 0.07054 32_73
Da 0.07003 68_97
od 0.06997 111_100
pr 0.06980 112_114
Be 0.06980 66_101
je 0.06975 106_101
tu 0.06935 116_117
·b 0.06918 183_98
lb 0.06884 108_98
ft 0.06879 102_116
oh 0.06862 111_104
rl 0.06805 114_108
 j 0.06794 32_106
 N 0.06749 32_78
fa 0.06732 102_97
·· 0.06710 183_13
Ma 0.06670 77_97
·a 0.06653 10_97
s, 0.06631 115_44
·e 0.06591 10_101
bl 0.06563 98_108
of 0.06540 111_102
io 0.06444 105_111
We 0.06371 87_101
l· 0.06331 108_183
f· 0.06315 102_183
rz 0.06309 114_122
!· 0.06303 33_183
gi 0.06275 103_105
zt 0.06269 122_116
wu 0.06207 119_117
ba 0.06066 98_97
w· 0.06066 119_183
rb 0.06055 114_98
fr 0.06038 102_114
ul 0.06038 117_108
kt 0.05976 107_116
do 0.05942 100_111
 Z 0.05931 32_90
ug 0.05897 117_103
hu 0.05880 104_117
fo 0.05784 102_111
ct 0.05745 99_116
:  0.05745 58_32
ce 0.05722 99_101
vi 0.05677 118_105
br 0.05666 98_114
De 0.05643 68_101
nb 0.05575 110_98
·S 0.05536 10_83
rf 0.05519 114_102
ff 0.05502 102_102
·u 0.05485 10_117
ad 0.05417 97_100
rr 0.05417 114_114
og 0.05412 111_103
He 0.05406 72_101
ob 0.05395 111_98
·s 0.05383 183_115
Ha 0.05338 72_97
·g 0.05304 10_103
tl 0.05265 116_108
fl 0.05259 102_108
up 0.05259 117_112
h· 0.05259 104_13
t· 0.05259 116_183
!  0.05225 33_32
h, 0.05208 104_44
mu 0.05197 109_117
fi 0.05175 102_105
pa 0.05146 112_97
bs 0.05135 98_115
·e 0.05096 183_101
m· 0.05039 109_13
 c 0.05022 32_99
hs 0.05022 104_115
Au 0.04955 65_117
d, 0.04955 100_44
Pr 0.04932 80_114
gs 0.04904 103_115
hw 0.04904 104_119
rh 0.04819 114_104
·D 0.04785 10_68
Wa 0.04780 87_97
Er 0.04774 69_114
Al 0.04639 65_108
pf 0.04610 112_102
·u 0.04582 183_117
La 0.04554 76_97
 - 0.04548 32_45
y  0.04526 121_32
ub 0.04514 117_98
af 0.04503 97_102
ek 0.04464 101_107
 J 0.04464 32_74
if 0.04452 105_102
g, 0.04447 103_44
Th 0.04441 84_104
Gr 0.04413 71_114
Si 0.04402 83_105
n· 0.04396 110_183
ou 0.04390 111_117
·l 0.04390 183_108
dr 0.04362 100_114
n; 0.04283 110_59
b  0.04232 98_32
·i 0.04187 10_105
r. 0.04187 114_46
·h 0.04176 10_104
co 0.04170 99_111
op 0.04159 111_112
-  0.04131 45_32
zw 0.04119 122_119
bu 0.04069 98_117
fu 0.04040 102_117
Ka 0.04023 75_97
su 0.03995 115_117
nl 0.03978 110_108
In 0.03967 73_110
ln 0.03961 108_110
Vo 0.03939 86_111
Wi 0.03916 87_105
mp 0.03871 109_112
Se 0.03849 83_101
Fr 0.03837 70_114
 O 0.03837 32_79
tw 0.03832 116_119
·v 0.03786 10_118
.· 0.03747 46_183
m· 0.03691 109_183
Me 0.03679 77_101
So 0.03674 83_111
Ko 0.03657 75_111
pi 0.03651 112_105
·· 0.03628 183_183
va 0.03617 118_97
